element,rank,pref,station,value,date,station_note,still_observing
最高気温の高い方から,1,群馬県,伊勢崎,41.8,2025年8月5日,False,True
最高気温の高い方から,2,静岡県,静岡,41.4,2025年8月6日,True,True
最高気温の高い方から,2,埼玉県,鳩山,41.4,2025年8月5日,False,True
最高気温の高い方から,4,群馬県,桐生,41.2,2025年8月5日,False,True
最高気温の高い方から,4,兵庫県,柏原,41.2,2025年7月30日,False,True
最高気温の高い方から,6,静岡県,浜松,41.1,2020年8月17日,True,True
最高気温の高い方から,6,埼玉県,熊谷,41.1,2018年7月23日,True,True
最高気温の高い方から,8,群馬県,前橋,41.0,2025年8月5日,True,True
最高気温の高い方から,8,栃木県,佐野,41.0,2024年7月29日,False,True
最高気温の高い方から,8,岐阜県,美濃,41.0,2018年8月8日,False,True
最高気温の高い方から,8,岐阜県,金山,41.0,2018年8月6日,False,True
最高気温の高い方から,8,高知県,江川崎,41.0,2013年8月12日,False,True
最高気温の高い方から,13,静岡県,天竜,40.9,2020年8月16日,False,True
最高気温の高い方から,13,岐阜県,多治見,40.9,2007年8月16日,False,True
最高気温の高い方から,15,新潟県,中条,40.8,2018年8月23日,False,True
最高気温の高い方から,15,東京都,青梅,40.8,2018年7月23日,False,True
最高気温の高い方から,15,山形県,山形,40.8,1933年7月25日,True,True
最高気温の高い方から,18,山梨県,甲府,40.7,2013年8月10日,True,True
最高気温の高い方から,19,茨城県,古河,40.6,2025年8月5日,False,True
最高気温の高い方から,19,京都府,福知山,40.6,2025年7月30日,False,True
最高気温の高い方から,19,新潟県,寺泊,40.6,2019年8月15日,False,True
最高気温の高い方から,19,和歌山県,かつらぎ,40.6,1994年8月8日,False,True
最低気温の低い方から,1,北海道　上川地方,旭川,-41.0,1902年1月25日,True,True
最低気温の低い方から,2,北海道　十勝地方,帯広,-38.2,1902年1月26日,True,True
最低気温の低い方から,3,北海道　上川地方,江丹別,-38.1,1978年2月17日,False,True
最低気温の低い方から,4,静岡県,富士山,-38.0,1981年2月27日,True,True
最低気温の低い方から,5,北海道　宗谷地方,歌登,-37.9,1978年2月17日,False,True
最低気温の低い方から,6,北海道　上川地方,幌加内,-37.6,1978年2月17日,False,True
最低気温の低い方から,7,北海道　上川地方,美深,-37.0,1978年2月17日,False,True
最低気温の低い方から,8,北海道　上川地方,和寒,-36.8,1985年1月25日,False,True
最低気温の低い方から,9,北海道　上川地方,下川,-36.1,1978年2月17日,False,True
最低気温の低い方から,10,北海道　宗谷地方,中頓別,-35.9,1985年1月24日,False,True
最低気温の低い方から,11,北海道　上川地方,占冠,-35.8,2001年1月14日,False,True
最低気温の低い方から,11,北海道　上川地方,朱鞠内,-35.8,1990年1月28日,False,True
最低気温の低い方から,13,北海道　上川地方,名寄,-35.7,1982年2月2日,False,True
最低気温の低い方から,13,北海道　後志地方,倶知安,-35.7,1945年1月27日,True,True
最低気温の低い方から,15,北海道　上川地方,中川,-35.6,1985年1月24日,False,True
最低気温の低い方から,16,北海道　留萌地方,幌糠,-35.4,1985年1月25日,False,True
最低気温の低い方から,16,北海道　網走・北見・紋別地方,佐呂間,-35.4,1978年2月17日,False,True
最低気温の低い方から,18,北海道　網走・北見・紋別地方,滝上,-35.2,1978年2月17日,False,True
最低気温の低い方から,19,北海道　上川地方,士別,-35.1,1985年1月25日,False,True
最低気温の低い方から,20,北海道　上川地方,音威子府,-34.9,1982年2月5日,False,True
最高気温の低い方から,1,静岡県,富士山,-32.0,1936年1月31日,True,True
最高気温の低い方から,2,北海道　上川地方,旭川,-22.5,1909年1月12日,True,True
最高気温の低い方から,3,北海道　上川地方,和寒,-21.2,1985年1月24日,False,True
最高気温の低い方から,4,北海道　上川地方,名寄,-20.3,1977年1月21日,False,True
最高気温の低い方から,5,北海道　上川地方,士別,-20.1,1985年1月25日,False,True
最高気温の低い方から,6,北海道　上川地方,富良野,-19.8,1985年1月24日,False,True
最高気温の低い方から,7,北海道　上川地方,中川,-19.4,1985年1月24日,False,True
最高気温の低い方から,8,北海道　上川地方,上富良野,-18.9,1985年1月25日,False,True
最高気温の低い方から,9,北海道　上川地方,美深,-18.7,1985年1月25日,False,True
最高気温の低い方から,10,北海道　上川地方,比布,-18.5,1985年1月24日,False,True
最高気温の低い方から,11,北海道　上川地方,幌加内,-18.3,1986年1月30日,False,True
最高気温の低い方から,12,徳島県,剣山,-17.9,1984年2月7日,True,False
最高気温の低い方から,13,北海道　上川地方,音威子府,-17.5,1985年1月25日,False,True
最高気温の低い方から,14,北海道　上川地方,東川,-17.4,1985年1月25日,False,True
最高気温の低い方から,15,北海道　網走・北見・紋別地方,網走,-17.0,1902年1月24日,True,True
最高気温の低い方から,16,北海道　上川地方,美瑛,-16.9,1985年1月24日,False,True
最高気温の低い方から,17,北海道　網走・北見・紋別地方,斜里,-16.8,1978年2月17日,False,True
最高気温の低い方から,18,北海道　宗谷地方,浜鬼志別,-16.2,1979年1月12日,False,True
最高気温の低い方から,18,北海道　十勝地方,帯広,-16.2,1902年1月25日,True,True
最高気温の低い方から,20,北海道　上川地方,下川,-16.1,1985年1月26日,False,True
最低気温の高い方から,1,新潟県,糸魚川,31.4,2023年8月10日,False,True
最低気温の高い方から,2,新潟県,高田,30.8,2023年8月10日,True,True
最低気温の高い方から,2,新潟県,相川,30.8,2019年8月15日,True,True
最低気温の高い方から,4,鳥取県,境,30.7,2023年8月10日,True,True
最低気温の高い方から,5,新潟県,粟島,30.6,2023年8月10日,False,True
最低気温の高い方から,6,福岡県,福岡,30.5,2018年8月22日,True,True
最低気温の高い方から,7,沖縄県,石垣島,30.4,2024年7月18日,True,True
最低気温の高い方から,7,島根県,松江,30.4,2023年8月10日,True,True
最低気温の高い方から,7,鳥取県,米子,30.4,2023年8月10日,True,True
最低気温の高い方から,7,東京都,東京,30.4,2013年8月11日,True,True
最低気温の高い方から,11,静岡県,浜松,30.3,2024年7月29日,True,True
最低気温の高い方から,11,石川県,小松,30.3,2000年7月31日,False,True
最低気温の高い方から,13,島根県,斐川,30.2,2023年8月9日,False,True
最低気温の高い方から,13,新潟県,三条,30.2,2019年8月15日,False,True
最低気温の高い方から,13,富山県,上市,30.2,1997年8月9日,False,True
最低気温の高い方から,16,愛媛県,松山,30.1,2023年8月10日,True,True
最低気温の高い方から,16,富山県,富山,30.1,2000年7月31日,True,True
最低気温の高い方から,18,鳥取県,塩津,30.0,2023年8月10日,False,True
最低気温の高い方から,18,鳥取県,湖山,30.0,2023年8月10日,False,True
最低気温の高い方から,18,沖縄県,北原,30.0,2022年8月26日,False,True
最低気温の高い方から,18,長崎県,口之津,30.0,2017年8月5日,False,True
最低気温の高い方から,18,福井県,越廼,30.0,2000年7月31日,False,True
最大10分間降水量,1,北海道　渡島地方,木古内,55.0,2021年11月2日,False,True
最大10分間降水量,2,埼玉県,熊谷,50.0,2020年6月6日,True,True
最大10分間降水量,2,新潟県,室谷,50.0,2011年7月26日,False,True
最大10分間降水量,4,高知県,清水,49.0,1946年9月13日,True,True
最大10分間降水量,5,宮城県,石巻,40.5,1983年7月24日,True,True
最大10分間降水量,6,埼玉県,秩父,39.6,1952年7月4日,True,True
最大10分間降水量,7,兵庫県,柏原,39.5,2014年6月12日,False,True
最大10分間降水量,8,兵庫県,洲本,39.2,1949年9月2日,True,True
最大10分間降水量,9,神奈川県,横浜,39.0,1995年6月20日,True,True
最大10分間降水量,10,東京都,練馬,38.5,2018年8月27日,False,True
最大10分間降水量,10,宮崎県,宮崎,38.5,1995年9月30日,True,True
