jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
s47401,稚内,ワッカナイ,宗谷,45.415,141.678333,3,A,,amedastable+obsdl,11016,s47401,111111
a0002,沓形,クツガタ,宗谷,45.178333,141.138333,14,C,,amedastable+obsdl,11151,a0002,111201
a0003,浜頓別,ハマトンベツ,宗谷,45.125,142.35,18,C,,amedastable+obsdl,11206,a0003,111201
s47402,北見枝幸,キタミエサシ,宗谷,44.94,142.585,7,B,,amedastable+obsdl,11291,s47402,111111
a0005,歌登,ウタノボリ,宗谷,44.841667,142.48,14,C,,amedastable+obsdl,11316,a0005,111211
a1051,中頓別,ナカトンベツ,宗谷,44.965,142.28,25,C,,amedastable+obsdl,11276,a1051,111211
a1054,豊富,トヨトミ,宗谷,45.101667,141.78,14,C,,amedastable+obsdl,11176,a1054,111211
a1203,沼川,ヌマカワ,宗谷,45.248333,141.851667,23,C,,amedastable+obsdl,11121,a1203,111211
a1207,船泊,,宗谷,,,,,,obsdl_only,,a1207,111100
a1284,宗谷岬,ソウヤミサキ,宗谷,45.52,141.935,26,C,,amedastable+obsdl,11001,a1284,111201
a1285,浜鬼志別,ハマオニシベツ,宗谷,45.335,142.17,13,C,,amedastable+obsdl,11076,a1285,111211
a1512,本泊,モトドマリ：利尻空港,宗谷,45.241667,141.186667,30,C,,amedastable+obsdl,11091,a1512,111000
a1528,声問,コエトイ：稚内空港,宗谷,45.403333,141.801667,8,C,,amedastable+obsdl,11061,a1528,111010
a1546,礼文,レブン,宗谷,45.305,141.045,65,C,,amedastable+obsdl,11046,a1546,111201
a1593,幌泊,,宗谷,,,,,,obsdl_only,,a1593,111000
a1573,幌延,ホロノベ,宗谷,45.006667,141.851667,5,C,,amedastable+obsdl,13011,a1573,100000
a1656,礼文上泊埼,,宗谷,,,,,,obsdl_only,,a1656,100000
a0006,美深,ビフカ,上川,44.48,142.341667,77,C,,amedastable+obsdl,12141,a0006,111211
a0007,ピヤシリ山,,上川,,,,,,obsdl_only,,a0007,100000
a0008,名寄,ナヨロ,上川,44.37,142.456667,89,C,,amedastable+obsdl,12181,a0008,111211
